BatteryLevel,State,DistanceL,DistanceR,SpeedLExp,SpeedRExp,SpeedLBuff,SpeedRBuff,OutputL,OutputR
0,0,0,0,0,0,0,0,0,0
2.82,0,-1.47,1.47,-0,0,-0,0,0,0
2.83,0,-1.47,1.47,-0,0,0,-0,0,0
2.84,0,-1.47,1.47,-0,0,0,-0,0,0
2.83,0,-1.47,1.47,-0,0,0,-0,0,0
2.82,0,-1.47,1.47,-0,0,0,-0,0,0
2.73,0,10.31,10.31,14.28,11.6,117.72,88.29,1.13,1.13
2.73,0,44.18,33.87,111.41,77.92,332.03,230.98,1.13,1.13
2.77,0,76.58,53.01,193.37,128.42,333.71,197.19,1.13,1.13
2.71,0,79.52,55.96,200.82,137.66,28.76,28.76,-1.15,-1.15
2.73,0,48.6,33.87,41.34,22.43,-315.76,-225.54,-1.05,-1.05
2.74,0,17.67,10.31,-93.41,-76.01,-314.74,-239.8,-0.94,-0.94
2.82,0,-13.25,-11.78,-181.55,-137.27,-306.59,-229.94,-0.82,-0.82
2.82,0,-39.76,-29.45,-223.23,-161.19,-261.92,-174.61,-0.68,-0.68
2.83,0,-54.49,-44.18,-210.7,-160.14,-149.64,-134.67,-0.57,-0.57
2.82,0,-69.21,-54.49,-188.96,-144.16,-163.27,-103.9,-0.45,-0.45
2.82,0,-82.47,-63.32,-170.53,-126.9,-120.51,-90.38,-0.34,-0.34
2.82,5,-88.36,-70.69,-143.77,-107.76,-58.2,-72.74,0.34,-0.38
2.82,5,-78.05,-78.05,-68.45,-95.39,107.08,-61.19,0.34,-0.38
2.83,5,-67.74,-86.88,-0.45,-89.45,105.33,-75.24,0.34,-0.38
2.81,5,-57.43,-95.72,42.21,-87.83,104.07,-89.2,0.34,-0.38
2.83,5,-48.6,-103.08,62.75,-86.33,88.41,-73.67,0.34,-0.38
2.82,5,-42.71,-111.92,66.15,-84.03,60.45,-75.56,0.34,-0.38
2.82,5,-39.76,-119.28,57.59,-82.08,42.69,-71.15,0.34,-0.38
2.83,5,-32.4,-126.65,55.49,-80.01,69.37,-69.37,0.34,-0.38
2.82,5,-23.56,-135.48,63.95,-79.23,87.97,-87.97,0.34,-0.38
2.82,5,-13.25,-142.84,77.66,-80.46,91.85,-76.54,0.34,-0.38
2.83,5,-2.95,-151.68,87.35,-80.8,108.1,-81.07,0.34,-0.38
2.81,5,7.36,-160.52,94.9,-82.03,104.8,-89.83,0.34,-0.38
2.83,5,19.14,-167.88,99.33,-83.27,106.04,-75.74,0.34,-0.38
2.81,5,27.98,-175.24,101.17,-81.72,90.49,-75.41,0.34,-0.38
2.83,5,38.29,-184.08,101.52,-81.57,91,-75.84,0.34,-0.38
2.82,5,45.65,-191.44,94.52,-81.05,74.81,-74.81,0.34,-0.38
2.82,5,51.54,-200.28,83.23,-79.88,60.06,-75.08,0.34,-0.38
2.82,5,55.96,-207.64,69.48,-78.08,45.07,-75.11,0.34,-0.38
2.82,5,63.32,-215,65.98,-78.19,75.25,-75.25,0.34,-0.38
2.82,5,73.63,-223.84,75.06,-79.43,100.13,-85.65,0.34,-0.38
2.82,5,83.94,-226.78,85.43,-75.63,103.04,-29.44,0.35,0.47
2.83,5,95.72,-216.48,94.37,-24.17,117.09,101.21,0.35,0.47
2.82,5,106.03,-206.17,99.89,23.11,100.22,100.22,0.35,0.47
2.81,5,117.81,-197.33,104.67,52.77,120.05,90.04,0.35,0.47
2.82,5,128.12,-187.02,107.6,70.45,115.5,101.07,0.35,0.47
2.81,5,138.43,-178.19,106.62,80.12,101.07,86.58,0.35,0.47
2.81,5,145.79,-167.88,96.86,85.48,75.04,90.04,0.35,0.47
2.83,5,150.21,-159.04,79.11,87.46,45.04,90.09,0.35,0.47
2.82,5,156.1,-150.21,71.04,90.34,59.93,89.9,0.35,0.47
2.81,5,166.41,-139.9,77.98,92.59,88.69,103.48,0.35,0.47
2.82,5,178.19,-131.06,88.01,94.39,120.64,105.56,0.35,0.47
2.82,5,188.5,-120.75,96.87,96.95,102.04,102.04,0.35,0.47
2.82,5,200.28,-110.45,102.86,96.47,118.78,105.34,0.35,0.47
2.82,5,210.58,-100.14,105.59,96.64,114.29,100,0.35,0.47
2.82,5,220.89,-91.3,107.18,99.22,102.57,102.57,0.35,0.47
2.82,5,231.2,-80.99,105.14,100.25,90.82,105.95,0.35,0.47
2.82,5,238.56,-70.69,95.3,98.4,74.31,104.03,0.35,0.47
2.82,5,242.98,-61.85,81.11,96.83,45.02,90.04,0.35,0.47
2.82,5,250.35,-53.01,71.86,94.01,71.47,85.77,0.35,0.47
2.82,5,259.18,-44.18,76.18,92.1,86.44,86.44,0.35,0.47
2.81,5,270.96,-33.87,87.72,93.14,105.1,105.1,0.45,0.37
2.82,5,285.69,-26.51,106.11,89.85,148.44,74.22,0.45,0.37
2.83,5,298.94,-19.14,119.02,86.66,135.12,75.07,0.45,0.37
2.81,5,313.67,-10.31,128.46,84.47,136.36,75.76,0.45,0.37
2.83,5,326.92,-2.95,132.1,83.08,126.11,70.06,0.45,0.37
2.81,5,335.76,4.42,123.5,80.47,89.07,74.23,0.45,0.37
2.81,5,343.12,13.25,105.91,78.95,90.23,75.19,0.45,0.37
2.81,5,356.37,20.62,106.4,77.13,118.98,74.36,0.45,0.37
2.81,5,371.1,27.98,116.24,78.31,150.12,68.24,0.45,0.37
2.82,5,384.35,36.82,126.48,79.59,133.58,89.05,0.45,0.37
2.82,5,399.08,44.18,131.33,80.42,147.33,73.67,0.45,0.37
