BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
0,0,0,0,0,0
3.12,0,-29.45,27.98,-72.72,65.01
3.12,0,-153.15,138.43,-118.76,108.94
3.12,0,-229.73,204.69,7.04,-2.93
3.13,0,-111.92,131.06,110.01,-73.5
3.11,0,13.25,91.3,138.06,17.51
3.11,0,164.93,172.3,146.78,80.33
3.12,0,313.67,216.48,139.82,-12.33
3.12,0,428.53,136.95,111.66,-78.89
3.12,0,502.16,54.49,0.11,-88.99
3.12,0,406.44,-42.71,-81.33,-96.32
3.12,0,347.54,-92.78,8.05,22.23
3.12,0,438.84,17.67,81.67,107.19
3.12,0,534.56,79.52,91.11,-13.73
3.12,0,642.06,-14.73,102.28,-94.05
3.12,0,698.02,-110.45,-17.2,-95.6
3.11,0,596.41,-204.69,-91.89,-92.92
3.12,0,538.98,-296,25.66,-85.93
3.12,0,658.26,-375.52,125.02,-78.33
3.12,0,730.42,-455.04,-4.47,-82.84
3.11,0,640.59,-541.92,-94.57,-87.48
3.11,0,597.88,-587.58,23.96,18.35
3.11,0,699.5,-497.75,100.57,89.91
3.12,0,758.4,-449.15,-18.77,-16.22
3.11,0,646.48,-540.45,-111.77,-90.02
3.11,0,597.88,-587.58,46.28,19.35
3.12,0,749.56,-491.86,154.37,95.88
3.11,0,892.41,-437.37,124.96,-9.41
3.11,0,1011.69,-522.78,114.18,-84.76
3.12,0,1082.38,-569.9,-3.68,8.95
3.12,0,989.6,-493.33,-97.9,75.93
3.12,0,892.41,-462.4,-115.72,-34.88
3.11,0,773.13,-572.85,-112.25,-110.06
3.12,1,709.8,-687.71,26.54,-111.34
3.12,0,720.11,-693.6,1.07,-1.38
3.12,0,723.06,-692.13,2.39,0.98
3.12,0,879.16,-606.72,157.55,83.38
3.11,0,1032.31,-521.31,155.77,85.86
3.12,0,1178.1,-424.12,143.36,95.35
3.11,0,1326.83,-335.76,150.14,90.37
3.12,0,1425.5,-449.15,105.25,-112.65
3.11,0,1525.64,-564.01,107.14,-114.52
3.12,0,1630.19,-659.73,110.69,-98.04
3.11,0,1734.75,-758.4,106.7,-97.73
3.12,0,1803.96,-824.67,27.8,-25.74
3.12,1,1803.96,-824.67,0.21,-0.2
3.12,1,1773.04,-807,-88.09,49.98
3.12,3,1784.82,-801.11,0.79,1.18
3.12,0,1784.82,-801.11,0.01,0.01
3.12,0,1784.82,-801.11,0,0
3.11,0,1708.24,-860.01,-107.06,-89.08
3.12,0,1636.08,-913.03,-17.13,-13.66
3.12,0,1596.32,-870.32,-79.11,83.96
3.12,0,1506.49,-771.65,-91.68,99.32
3.12,0,1400.46,-758.4,-120.81,-70.55
3.11,0,1272.35,-860.01,-131.61,-102.88
3.12,0,1262.04,-882.1,99.2,51.73
3.11,0,1400.46,-805.52,137.97,77.14
3.12,1,1484.4,-751.04,30.08,20.2
3.12,0,1497.66,-743.67,3.15,1.74
3.12,1,1497.66,-743.67,0.02,0.01
3.12,0,1497.66,-743.67,0,0
