BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
0,0,0,0,0,0
3.02,0,0,8.84,-95.71,-66.62
3.03,9,-69.21,-36.82,-14.72,-10.28
3.03,6,-51.54,-19.14,44.45,45.04
3.03,6,70.69,86.88,121.86,105.41
3.04,6,189.97,220.89,122.27,143.75
3.03,6,285.69,329.87,62.93,93.58
3.02,6,319.56,409.39,44.57,83.54
3.01,6,390.24,491.86,56.31,78.99
3.17,7,390.24,502.16,0.45,1.54
3.16,7,390.24,502.16,0,0.01
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.18,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.18,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.18,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.16,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.17,7,390.24,502.16,0,0
3.05,7,390.24,502.16,0,0
3.04,7,390.24,502.16,0,0
3.05,7,390.24,502.16,0,0
3.05,7,390.24,502.16,0,0
3.04,7,390.24,502.16,0,0
3.05,7,390.24,502.16,0,0
3.01,8,207.64,374.05,-238.89,-172
2.89,8,-25.03,195.86,-228.94,-180.18
3.05,8,64.8,138.43,109.55,-80.08
3.04,8,178.19,53.01,119.32,-85.79
3.03,8,181.13,51.54,1.33,-0.88
3.03,8,76.58,-14.73,-185.12,-122.74
3.03,8,25.03,-44.18,-132.99,-91.53
3.04,5,-83.94,-70.69,-80.05,7.46
3.04,9,-76.58,-91.3,28.63,-15.91
3.03,9,-106.03,-106.03,-145.77,-102.62
3.03,5,-113.39,-107.5,39.89,14.81
3.04,5,-23.56,-70.69,79.28,16.55
3.04,5,14.73,-70.69,-3.77,0.15
3.01,5,-53.01,-70.69,-70.63,0
3.04,5,-61.85,-75.1,-1.5,-12.45
3.04,5,-61.85,-80.99,-0.01,-1.22
3.03,5,-50.07,-95.72,30.49,-33.56
3.02,5,-14.73,-114.86,6.68,-3.61
3.03,5,-14.73,-114.86,0.06,-0.03
3.02,5,-14.73,-114.86,0,-0
3.03,5,-14.73,-113.39,0,4.18
3.03,5,-14.73,-113.39,0,0.04
3.03,5,-29.45,-122.23,-35.73,-22.15
3.05,5,-98.67,-172.3,-67.92,-47.88
3.04,5,-173.77,-204.69,-59.63,-0.33
2.9,5,-129.59,-104.56,123.69,121.54
2.89,5,-273.91,-209.11,-37.18,-22.64
3.04,9,-309.25,-229.73,-29.72,-19.73
3.02,6,-184.08,-139.9,135.6,95.57
3.03,6,-60.38,-8.84,110.71,139.94
3.02,6,50.07,136.95,118.45,131.42
3.03,6,156.1,235.62,71.74,88.5
3.03,6,181.13,318.09,8.24,75.21
3.03,6,251.82,396.14,124.07,90.62
3.17,7,273.91,416.75,3.2,2.85
3.16,7,273.91,416.75,0.02,0.02
3.16,7,273.91,416.75,0,0
3.15,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.16,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.17,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
3.18,7,273.91,416.75,0,0
