BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
0,0,0,0,0,0
3.01,0,-38.29,-51.54,-104.53,-136.34
3,5,13.25,-128.12,70.86,-79.63
3.01,5,88.36,-203.22,71.3,-73.58
3,5,144.32,-263.6,57.4,-58.64
3,5,197.33,-323.98,56.23,-60.01
3,5,157.57,-409.39,-55.77,-93.84
3,5,97.19,-505.11,-58.4,-96.24
3,5,72.16,-457.99,-3.82,72.03
3,5,72.16,-381.41,-0.03,74.09
3,5,135.48,-449.15,75.76,-90.03
3.01,5,213.53,-546.34,80.6,-99.21
2.85,9,279.8,-503.64,37.15,36.06
3.01,9,229.73,-569.9,-96.68,-122.13
3,9,217.95,-599.36,-105,-133.05
3,9,192.91,-642.06,-5.12,-10.38
3,6,215,-593.47,55.91,120.63
3,6,328.39,-421.17,133.91,155.1
3,6,456.51,-288.63,106.29,122.31
3,6,552.23,-238.56,87.51,53.61
2.87,6,628.81,-148.73,59.12,109.84
3.06,7,633.23,-107.5,0.61,5.6
3.06,7,633.23,-107.5,0,0.04
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.07,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.07,7,633.23,-107.5,0,0
3.07,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.07,7,633.23,-107.5,0,0
3.07,7,633.23,-107.5,0,0
3.07,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.06,7,633.23,-107.5,0,0
3.07,7,633.23,-107.5,0,0
