BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
0,0,0,0,0,0
2.74,0,73.63,41.23,136.12,73.04
2.82,5,-126.65,-44.18,-134.69,31.24
2.83,5,-278.33,50.07,-155.98,94.08
2.81,5,-347.54,83.94,37.55,-49.77
2.83,5,-217.95,-35.34,136.49,-120.29
2.82,5,-173.77,-98.67,-63.81,16.03
2.81,5,-318.09,-17.67,-138.22,80.98
2.83,5,-465.35,7.36,-139.95,-53.81
2.82,5,-583.16,-106.03,-110.86,-112.77
2.82,5,-706.86,-217.95,-116.66,-106.64
2.83,5,-827.61,-322.5,-126.41,-106.01
2.82,5,-949.84,-430.01,-133.02,-110.03
2.82,5,-1077.96,-540.45,-124.54,-108.57
2.81,5,-1136.86,-586.1,45.76,44.51
2.82,5,-1016.11,-472.71,121.43,113.59
2.82,5,-879.16,-363.74,143.67,99.01
2.73,5,-873.26,-232.67,-183.02,189.65
2.77,5,-1206.08,5.89,-338.52,235.37
2.82,5,-1323.89,25.03,-235.49,-153.61
2.82,5,-1375.43,63.32,-95.16,96.85
2.82,5,-1535.94,173.77,-157.81,107.24
2.82,5,-1693.51,225.31,-145.79,-28.96
2.82,5,-1826.05,136.95,-130.01,-87.34
2.81,5,-1955.64,98.67,-125.5,33.2
2.82,5,-2064.62,187.02,-118.31,89.46
2.81,5,-2101.43,284.22,63.85,105.26
2.81,5,-1970.37,393.19,131.2,110.74
2.82,5,-1848.14,500.69,115.38,104.39
2.8,5,-1728.86,603.77,125.07,102.41
2.81,5,-1611.05,699.5,126.58,89.08
2.81,5,-1502.07,777.54,105.8,78.67
2.8,5,-1453.48,807,-50.46,-38.91
2.82,5,-1591.9,711.28,-142.82,-95.59
2.82,5,-1653.75,672.99,34.14,40.76
2.72,5,-1745.06,615.56,-208.89,-141.33
2.73,5,-1426.97,614.08,294.73,-138.41
2.82,5,-1528.58,537.51,-152.31,-117.65
2.82,5,-1575.71,449.15,54.43,-96.22
2.81,5,-1437.28,346.07,144,-102.95
2.82,5,-1306.22,294.52,126.74,20.18
2.81,5,-1163.37,374.05,149.33,77.07
2.81,5,-1036.73,453.57,110.78,82.23
2.8,5,-907.13,541.92,129.76,88.64
2.81,5,-861.48,627.34,-61.82,82.62
2.82,5,-995.49,709.8,-133.32,84.56
2.81,5,-1133.92,734.84,-131.18,-57.7
2.82,5,-1244.37,612.61,-116.56,-122.43
2.82,5,-1360.7,553.71,-118.16,26.78
2.81,5,-1506.49,650.9,-150.36,97.74
2.81,5,-1562.45,749.56,59.13,99.61
2.81,5,-1424.03,852.65,136.2,103.43
2.82,5,-1284.13,895.35,136.99,-38.74
2.77,5,-1569.81,670.04,-336.79,-234.03
2.71,5,-1702.35,808.47,85.17,154.1
2.8,5,-1893.79,720.11,-139.48,33.23
2.81,5,-1971.84,824.67,4.75,109.04
2.82,5,-1876.12,939.53,74.85,110.09
2.8,5,-1836.36,1054.4,-62.45,108.13
2.82,5,-1974.79,1160.43,-146.35,106.49
2.82,5,-2038.11,1270.87,35.02,120.07
2.82,5,-1933.55,1394.57,110.26,124.45
2.81,5,-1814.27,1456.42,151.72,-24.55
2.81,5,-1658.17,1365.12,156.51,-89.55
2.82,5,-1586.01,1331.25,-47.87,46.37
2.8,5,-1721.49,1443.17,-124.22,110.66
2.82,5,-1795.13,1496.18,28.97,-30.2
2.81,5,-1672.9,1400.46,113.56,-95.5
2.81,5,-1612.52,1298.85,-28.7,-107.99
2.81,5,-1712.66,1183.99,-84.71,-114.89
2.74,5,-1827.52,1129.5,-116.95,39.92
2.75,5,-1836.36,1279.71,-0.42,22.71
2.82,5,-1968.9,1186.93,-213.78,-155.88
2.81,5,-2088.18,1189.88,-97.45,73.63
2.81,9,-2166.23,1172.21,-221.58,-153.93
2.82,5,-2306.13,1201.66,-139.98,79.72
