BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
0,0,0,0,0,0
2.85,0,97.19,-33.87,142.17,-46.29
2.85,0,238.56,-80.99,143.59,-48.15
2.84,0,279.8,-88.36,5.38,7.23
2.85,0,279.8,-85.41,0.04,0.35
2.85,0,279.8,-141.37,0,-74.93
2.85,0,279.8,-220.89,0,-79.6
2.84,0,279.8,-266.54,0,-37.69
2.84,0,279.8,-301.89,0,-33.23
2.86,0,281.27,-368.16,0.39,-77.11
2.83,0,281.27,-449.15,0,-80.18
2.85,0,281.27,-472.71,0,-3.65
2.85,0,281.27,-472.71,0,-0.03
2.85,0,379.94,-472.71,141.45,-0
2.85,0,512.47,-472.71,132.15,-0
2.85,0,568.43,-537.51,11.49,-86.05
2.82,0,845.28,-571.38,282.27,153.59
2.84,0,1007.27,-453.57,-0.96,-4.5
2.84,0,991.07,-506.58,-2.03,-50.32
2.85,0,991.07,-460.93,-0.02,78.47
2.83,0,991.07,-375.52,-0,84.16
2.84,0,991.07,-282.74,-0,97.56
2.85,0,991.07,-182.61,-0,99.55
2.84,0,991.07,-86.88,-0,94.19
2.84,0,991.07,7.36,-0,93.22
2.84,0,991.07,-20.62,-0,-65.21
2.84,0,991.07,-95.72,-0,-75.55
2.83,0,991.07,-173.77,-0,-80.41
2.85,0,991.07,-253.29,-0,-80.28
2.83,0,991.07,-273.91,-0,-2.65
2.84,0,991.07,-273.91,-0,-0.02
2.84,0,991.07,-359.32,-0,-111.92
2.76,0,902.72,-509.53,-209.34,-198.48
2.81,0,584.63,-586.1,-318.24,115.65
2.84,0,478.6,-591.99,-67.2,-48
2.83,0,471.24,-662.68,-1.22,-78.22
2.86,0,471.24,-740.73,-0.01,-77.57
2.83,0,471.24,-815.83,-0,-73.75
2.83,0,471.24,-887.99,-0,-71.24
2.84,0,546.34,-963.09,105.7,-76.51
2.84,0,640.59,-1039.67,108.18,-77.18
2.84,0,659.73,-998.44,2.79,78.29
2.85,0,659.73,-914.5,0.02,81.23
2.84,0,659.73,-932.17,0,-48.94
2.85,0,659.73,-986.66,0,-56.34
2.86,0,659.73,-935.11,0,87.15
2.85,0,659.73,-843.81,0,90.47
2.83,0,659.73,-818.78,0,3.37
2.84,0,659.73,-818.78,0,0.03
2.76,0,736.31,-983.71,-44.61,-217.47
2.84,0,829.09,-933.64,179.7,75.73
2.83,0,834.98,-1016.11,-20.53,-101.1
2.83,0,834.98,-1117.72,-0.15,-101.67
2.83,0,834.98,-1147.17,-0,-3.85
2.83,0,834.98,-1147.17,-0,-0.03
2.84,0,767.24,-1147.17,-100.79,-0
2.83,0,674.46,-1147.17,-104.58,-0
2.84,0,646.48,-1085.32,-3.4,79.11
2.84,0,646.48,-1001.38,-0.03,84.24
2.84,0,556.65,-979.29,-130.87,2.91
2.85,0,438.84,-979.29,-113.02,0.02
2.85,0,328.39,-1004.33,-94.21,-35.33
2.84,0,222.37,-1041.14,-103.8,-34.03
2.83,0,278.33,-1083.85,98.97,-45.15
2.84,0,406.44,-1123.61,127.3,-38.77
2.79,0,413.81,-1094.16,-53.98,71.34
2.77,0,419.7,-926.28,97.35,108
2.84,0,363.74,-1038.2,92.6,-45.48
2.85,0,469.77,-1070.6,94.79,-33.07
2.85,0,475.66,-1108.88,-30.63,-35.83
2.84,0,468.29,-1141.28,-1.2,-32.78
2.84,0,382.88,-1147.17,-127.92,1.28
2.84,0,265.07,-1147.17,-118.9,0.01
2.82,0,300.41,-1210.49,79.22,-84.75
2.83,0,400.55,-1300.32,94.07,-88.79
2.84,0,459.46,-1250.26,31.44,93.08
2.84,0,459.46,-1151.59,0.29,98.65
2.85,0,541.92,-1183.99,134.2,-77.05
2.84,0,664.15,-1266.45,112.41,-79.55
2.83,0,812.89,-1288.54,155.95,-2.77
2.84,0,955.73,-1288.54,135.81,-0.02
2.84,0,948.37,-1242.89,-64.66,62.46
2.73,0,799.63,-1091.21,-268.33,225.28
2.84,0,1095.63,-868.85,282.01,230.44
2.83,0,1095.63,-774.6,2.4,96.15
2.84,0,1101.52,-695.08,1.62,73.65
2.84,0,1101.52,-621.45,0.01,73.78
2.83,0,1101.52,-602.3,0,2.43
2.83,0,1101.52,-602.3,0,0.02
2.83,0,1101.52,-637.65,0,-47.49
2.85,0,1101.52,-687.71,0,-49.56
2.84,0,1101.52,-650.9,0,64.75
2.84,0,1101.52,-581.69,0,70.06
2.84,0,1142.75,-590.52,70.81,-32.98
2.83,0,1201.66,-630.28,36.36,-40.06
2.84,0,1217.86,-565.49,2.14,97.31
2.84,0,1217.86,-466.82,0.02,102.16
2.84,0,1326.83,-412.33,137.69,38.85
2.85,0,1478.51,-379.94,155.56,31.34
2.81,0,1767.15,-153.15,297.16,240.5
2.85,0,1574.23,-260.65,-178.24,-39.78
2.84,0,1452,-244.46,-108.82,24.11
2.84,0,1335.67,-228.26,-102.58,7.04
2.83,0,1341.56,-298.94,51.48,-94.75
2.85,0,1357.76,-347.54,31.51,-95.61
