BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
0,0,0,0,0,-0
2.91,0,-30.93,-14.73,-63.49,-24.38
2.92,0,-103.08,-38.29,-55.53,-25.63
2.91,0,-203.22,-14.73,-106.46,46.64
2.91,0,-332.81,41.23,-126.32,54.73
2.91,5,-385.83,79.52,-15.74,32.03
2.91,9,-400.55,117.81,-4.04,9.86
2.86,6,-356.37,139.9,108.78,53.25
2.91,6,-178.19,270.96,149.49,141.81
2.91,6,-19.14,419.7,166.81,145.88
2.9,6,100.14,540.45,80.33,107.07
2.9,6,197.33,656.79,100.03,112.73
3.03,7,256.24,693.6,10.51,6.23
3.04,7,256.24,693.6,0.08,0.05
3.04,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.03,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
3.04,7,256.24,693.6,0,0
