BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
0,0,0,-1.47,-0,-0
2.82,9,-1.47,-1.47,-0,-0
2.83,6,45.65,32.4,111.53,78.67
2.82,6,206.17,164.93,155.39,135.81
2.81,6,340.18,316.61,131.9,157.42
2.82,6,494.8,457.99,171.39,136.13
2.8,6,571.38,569.9,87.25,117.31
2.95,7,619.97,642.06,13.22,35.22
2.95,7,619.97,642.06,0.1,0.26
2.94,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.94,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.93,7,619.97,642.06,0,0
2.94,7,619.97,642.06,0,0
2.94,7,619.97,642.06,0,0
2.94,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.94,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.94,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.94,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.95,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.96,7,619.97,642.06,0,0
2.94,7,619.97,642.06,0,0
2.97,7,619.97,642.06,0,0
2.87,7,619.97,642.06,0,0
2.7,7,596.41,491.86,138.23,-138.62
2.82,5,376.99,337.23,-142.61,-104.11
2.83,5,428.53,335.76,9.2,-0.88
2.83,5,428.53,335.76,0.07,-0.01
2.83,5,421.17,334.29,-15.44,-4.76
2.83,5,315.14,309.25,-97.18,-25.24
2.83,5,240.04,288.63,-26.21,-7.66
2.83,5,206.17,290.11,-43.01,0.1
2.81,5,157.57,290.11,-42.69,0
2.83,5,159.04,290.11,-0.23,0
2.82,5,159.04,290.11,-0,0
2.82,5,159.04,290.11,-0,0
2.83,5,182.61,293.05,31.14,7.92
2.81,5,154.63,344.59,-11.63,49.73
2.82,5,154.63,391.72,-0.08,48.17
2.83,5,154.63,397.61,-0,0.9
2.82,5,154.63,397.61,-0,0.01
2.81,5,114.86,391.72,-70.59,-7.43
