BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
0,0,0,0,0,0
2.92,0,-14.73,25.03,-44.85,59.75
2.93,0,-85.41,132.54,-54.16,107.38
2.93,0,-139.9,242.98,-7.34,107.14
2.93,9,-113.39,303.36,10.3,29.34
2.94,9,-113.39,303.36,0.09,0.26
2.93,5,-113.39,303.36,0,0
2.93,9,-113.39,282.74,0,-19.03
2.93,6,-110.45,284.22,1.93,0.43
2.93,6,39.76,410.86,155.96,129.17
2.92,6,195.86,533.09,149.44,110.04
2.92,6,284.22,628.81,80.41,101.85
2.92,6,374.05,737.78,107.11,106.54
3.04,7,440.31,812.89,23.65,28.19
3.05,7,440.31,812.89,0.17,0.19
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.04,7,440.31,812.89,0,0
3.04,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.05,7,440.31,812.89,0,0
3.06,7,440.31,812.89,0,0
2.94,7,440.31,812.89,0,0
2.94,7,440.31,812.89,0,0
2.93,7,440.31,812.89,0,0
2.95,7,440.31,812.89,0,0
2.94,7,440.31,812.89,0,0
2.88,8,438.84,812.89,-0.29,-0.14
2.94,8,240.04,665.62,-205.99,-157.91
2.93,8,141.37,733.37,-103.75,70.2
2.93,8,39.76,808.47,-106.9,77.5
2.93,5,-58.9,880.63,-108.7,75.89
2.93,5,-58.9,880.63,-1.02,0.67
2.92,5,-58.9,880.63,-0.01,0
2.93,5,-58.9,880.63,-0,0
2.93,5,-75.1,882.1,-40.75,3.79
2.93,5,-142.84,882.1,-78.45,0.03
2.93,5,-198.8,882.1,-36.94,0
2.93,5,-198.8,882.1,-0.33,0
2.93,5,-194.39,882.1,10,0
2.92,5,-194.39,882.1,0.12,0
2.93,5,-194.39,882.1,0,0
2.92,5,-194.39,882.1,0,0
2.93,5,-195.86,870.32,-0.29,-29.63
2.93,5,-195.86,820.25,-0.06,-47.22
2.92,5,-195.86,787.85,-0,-18.4
2.92,5,-195.86,787.85,-0,-0.12
2.93,5,-189.97,792.27,14.31,12.07
2.92,5,-181.13,804.05,1.22,2
2.92,5,-181.13,799.63,0.01,-11.72
2.93,5,-181.13,780.49,0,-19.83
2.92,5,-178.19,761.35,7.65,-9.87
2.92,5,-82.47,761.35,97.61,-0.07
2.93,5,7.36,761.35,78.47,-0
2.93,5,10.31,764.29,0.82,0.18
2.93,5,10.31,774.6,0.01,29.13
2.92,5,10.31,842.34,0,66.38
2.92,5,8.84,895.35,-3.72,36.09
2.92,5,8.84,895.35,-0.03,0.26
2.92,5,10.31,895.35,3.47,0
2.92,5,10.31,895.35,0.03,0
2.92,5,10.31,895.35,0,0
2.91,5,10.31,895.35,0,0
